_id,status,deviceType,gpuModel,alternative,name,error,initTime,cpu.max,cpu.min,cpu.avg,fps.max,fps.min,fps.avg,heap.max,heap.min,heap.avg,vertexTotal,trianglesTotal
62545f1801d1d6264d1db345,success,desktop,apple a13 gpu,wasm-opengl,Multiple Objects Rendering,null,886,11,2,9,30,29,30,0,0,0,63936,21312
62545f3e01d1d6264d1db346,success,desktop,apple a13 gpu,wasm-opengl,Large Object Rendering,null,5063,1,0,0,31,30,30,0,0,0,240048,80016
62545f6ac46c67540b56e066,success,desktop,nvidia geforce rtx 2070,webgpu,Multiple Objects Rendering,null,1057,25,2,21,144,41,71,26.40377903,5.55779743,15.10136633,152316,50772
62545f83c46c67540b56e067,success,desktop,apple a13 gpu,webgl,Multiple Objects Rendering,null,101,14,3,11,31,28,30,0,0,0,63936,21312
62545f84c46c67540b56e068,success,desktop,nvidia geforce rtx 2070,webgpu,Large Object Rendering,null,1685,1,0,1,144,1,136,84.89558029,78.67611599,82.47639384,240048,80016
62545f9c01d1d6264d1db347,success,desktop,apple a13 gpu,webgl,Large Object Rendering,null,767,1,0,0,31,30,30,0,0,0,240048,80016
62545fc701d1d6264d1db348,success,desktop,nvidia geforce rtx 2070,wasm-opengl,Multiple Objects Rendering,null,75,26,3,22,144,55,93,24.25732899,8.13227177,16.22626164,198792,66264
62545fe101d1d6264d1db349,success,desktop,nvidia geforce rtx 2070,wasm-opengl,Large Object Rendering,null,702,1,0,1,144,57,138,61.65999985,59.95790005,60.8963409,240048,80016
62546023c46c67540b56e069,success,desktop,nvidia geforce rtx 2070,webgl,Multiple Objects Rendering,null,29,25,4,23,144,37,69,24.13711548,6.05653763,15.37099127,146664,48888
6254603bc46c67540b56e06a,success,desktop,nvidia geforce rtx 2070,webgl,Large Object Rendering,null,1488,1,0,1,144,140,143,45.4410696,42.59786415,44.14179752,240048,80016
62546070c46c67540b56e06b,success,desktop,arm mali-t880,wasm-opengl,Multiple Objects Rendering,null,1183,21,7,16,60,12,28,10.10894775,10.10894775,10.10894775,59184,19728
62546096c46c67540b56e06c,success,desktop,arm mali-t880,wasm-opengl,Large Object Rendering,null,8700,2,1,2,60,50,58,10.10894775,10.10894775,10.10894775,240048,80016
625460a601d1d6264d1db34a,error,desktop,arm mali-t880,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
625460ab01d1d6264d1db34b,error,desktop,arm mali-t880,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
625460f3c46c67540b56e06d,success,desktop,arm mali-t880,webgl,Multiple Objects Rendering,null,340,24,10,21,58,14,25,10.10894775,10.10894775,10.10894775,52092,17364
62546116c46c67540b56e06e,success,desktop,arm mali-t880,webgl,Large Object Rendering,null,6821,2,1,2,60,55,59,10.10894775,10.10894775,10.10894775,240048,80016
62546603c46c67540b56e06f,success,desktop,nvidia geforce rtx 2070 super,wasm-opengl,Multiple Objects Rendering,null,65,26,2,24,144,45,79,20.99728298,7.62726879,13.83744127,169524,56508
6254662b01d1d6264d1db34c,success,desktop,nvidia geforce rtx 2070 super,wasm-opengl,Large Object Rendering,null,1246,1,0,0,144,52,139,61.48847008,60.02798176,60.80312533,240048,80016
62546631c46c67540b56e070,error,desktop,nvidia geforce rtx 2070 super,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
62546633c46c67540b56e071,error,desktop,nvidia geforce rtx 2070 super,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
625466c901d1d6264d1db34d,success,desktop,nvidia geforce rtx 2070 super,webgl,Multiple Objects Rendering,null,30,27,4,24,144,29,56,22.85386086,4.53412056,12.77798987,119412,39804
6254675401d1d6264d1db34e,success,desktop,nvidia geforce rtx 2070 super,webgl,Large Object Rendering,null,1431,0,0,0,144,144,144,70.88033104,67.93134403,69.53534021,240048,80016
625593a601d1d6264d1db34f,success,desktop,arm mali-g77,wasm-opengl,Multiple Objects Rendering,null,120,25,2,18,60,48,58,9.53674316,9.53674316,9.53674316,126144,42048
625593bf01d1d6264d1db350,success,desktop,arm mali-g77,wasm-opengl,Large Object Rendering,null,918,1,0,1,60,17,58,9.53674316,9.53674316,9.53674316,240048,80016
625593d1c46c67540b56e072,error,desktop,arm mali-g77,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
625593d5c46c67540b56e073,error,desktop,arm mali-g77,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6255941701d1d6264d1db351,success,desktop,arm mali-g77,webgl,Multiple Objects Rendering,null,64,25,5,22,60,23,41,9.53674316,9.53674316,9.53674316,87048,29016
6255943001d1d6264d1db352,success,desktop,arm mali-g77,webgl,Large Object Rendering,null,1426,1,0,1,60,59,60,9.53674316,9.53674316,9.53674316,240048,80016
6255ab0001d1d6264d1db353,success,desktop,arm mali-g76,wasm-opengl,Multiple Objects Rendering,null,945,27,3,20,60,9,28,22.02987671,22.02987671,22.02987671,60300,20100
6255ab2701d1d6264d1db354,success,desktop,arm mali-g76,wasm-opengl,Large Object Rendering,null,11576,1,0,1,60,22,58,22.02987671,22.02987671,22.02987671,240048,80016
6255ad6401d1d6264d1db355,success,desktop,arm mali-g76,webgl,Multiple Objects Rendering,null,130,26,7,23,60,10,27,22.02987671,22.02987671,22.02987671,57348,19116
6255ad8201d1d6264d1db356,success,desktop,arm mali-g76,webgl,Large Object Rendering,null,5363,1,1,1,60,59,60,22.02987671,22.02987671,22.02987671,240048,80016
6256c3e9c46c67540b56e074,success,desktop,apple m1 pro,wasm-opengl,Multiple Objects Rendering,null,66,26,1,20,120,47,80,21.53936291,13.70947552,17.61989354,171648,57216
6256c41f01d1d6264d1db357,success,desktop,apple m1 pro,wasm-opengl,Large Object Rendering,null,437,1,0,1,120,120,120,64.97326851,58.37094307,63.009669,240048,80016
6256c47fc46c67540b56e075,success,desktop,apple m1 pro,webgpu,Multiple Objects Rendering,null,268,20,0,10,120,0,109,20.15738392,7.2873745,14.44700923,110088,36696
6256c4bdc46c67540b56e076,success,desktop,apple m1 pro,webgpu,Large Object Rendering,null,544,1,1,1,120,119,120,111.64172268,107.32899666,109.75443629,240048,80016
6256c52801d1d6264d1db358,success,desktop,apple m1 pro,webgl,Multiple Objects Rendering,null,41,3,0,2,120,0,80,15.27451134,5.24148273,10.59903526,9720,3240
6256c54001d1d6264d1db359,success,desktop,apple m1 pro,webgl,Large Object Rendering,null,509,1,0,1,120,120,120,101.15835381,98.39654636,99.89539563,240048,80016
625b523301d1d6264d1db35a,error,desktop,arm mali-g77 mc9,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
625b523701d1d6264d1db35b,error,desktop,arm mali-g77 mc9,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
625b527dc46c67540b56e077,success,desktop,arm mali-g77 mc9,wasm-opengl,Multiple Objects Rendering,null,326,23,5,16,61,41,56,18.40591431,18.40591431,18.40591431,120096,40032
625b529d01d1d6264d1db35c,success,desktop,arm mali-g77 mc9,wasm-opengl,Large Object Rendering,null,1484,2,0,1,61,9,58,18.40591431,18.40591431,18.40591431,240048,80016
625b52e3c46c67540b56e078,success,desktop,arm mali-g77 mc9,webgl,Multiple Objects Rendering,null,43,24,6,20,61,26,44,18.40591431,18.40591431,18.40591431,94320,31440
625b5300c46c67540b56e079,success,desktop,arm mali-g77 mc9,webgl,Large Object Rendering,null,1396,1,1,1,61,59,61,18.40591431,18.40591431,18.40591431,240048,80016
625c216701d1d6264d1db35d,success,desktop,nvidia geforce rtx 2060,wasm-opengl,Multiple Objects Rendering,null,557,18,1,8,60,60,60,16.11228848,8.63244534,12.0416798,128772,42924
625c217f01d1d6264d1db35e,success,desktop,nvidia geforce rtx 2060,wasm-opengl,Large Object Rendering,null,1744,0,0,0,60,60,60,82.58846092,58.11526966,67.29555988,240048,80016
625c21ccc46c67540b56e07a,success,desktop,nvidia geforce rtx 2060,webgpu,Multiple Objects Rendering,null,391,23,2,12,60,56,60,36.53934574,9.35992527,20.81434985,127728,42576
625c21fbc46c67540b56e07b,success,desktop,nvidia geforce rtx 2060,webgpu,Large Object Rendering,null,991,1,0,0,60,8,57,94.67477512,90.94636536,93.38900447,240048,80016
625c225501d1d6264d1db35f,success,desktop,nvidia geforce rtx 2060,webgl,Multiple Objects Rendering,null,26,5,0,2,60,1,41,17.3569088,3.86623669,11.18195057,16488,5496
625c228501d1d6264d1db360,success,desktop,nvidia geforce rtx 2060,webgl,Large Object Rendering,null,798,0,0,0,60,2,56,106.7894125,42.63858604,101.34269428,240048,80016
62616cfd01d1d6264d1db361,error,desktop,arm mali-g51,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
62616d0701d1d6264d1db362,error,desktop,arm mali-g51,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
62616d4cc46c67540b56e07c,success,desktop,arm mali-g51,wasm-opengl,Multiple Objects Rendering,null,614,19,3,13,60,10,28,12.11166382,12.11166382,12.11166382,60444,20148
62616d6ac46c67540b56e07d,success,desktop,arm mali-g51,wasm-opengl,Large Object Rendering,null,2804,1,0,1,60,0,57,12.11166382,12.11166382,12.11166382,240048,80016
62616d85c46c67540b56e07e,error,desktop,qualcomm adreno 430,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
62616d8cc46c67540b56e07f,error,desktop,qualcomm adreno 430,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
62616db2c46c67540b56e080,success,desktop,arm mali-g51,webgl,Multiple Objects Rendering,null,176,26,7,22,59,11,26,12.11166382,12.11166382,12.11166382,54648,18216
62616dd1c46c67540b56e081,success,desktop,arm mali-g51,webgl,Large Object Rendering,null,3256,1,0,1,60,50,59,12.11166382,12.11166382,12.11166382,240048,80016
62616dd4c46c67540b56e082,success,desktop,qualcomm adreno 430,wasm-opengl,Multiple Objects Rendering,null,608,24,2,20,60,13,28,10.68115234,10.68115234,10.68115234,60192,20064
62616df4c46c67540b56e083,success,desktop,qualcomm adreno 430,wasm-opengl,Large Object Rendering,null,6323,1,0,1,60,0,57,10.68115234,10.68115234,10.68115234,240048,80016
62616e3801d1d6264d1db363,success,desktop,qualcomm adreno 430,webgl,Multiple Objects Rendering,null,294,26,8,23,57,8,16,10.68115234,10.68115234,10.68115234,34596,11532
62616e5a01d1d6264d1db364,success,desktop,qualcomm adreno 430,webgl,Large Object Rendering,null,9357,1,1,1,59,34,56,10.68115234,10.68115234,10.68115234,240048,80016
6262fcc5c46c67540b56e084,error,desktop,adreno 618,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6262fccbc46c67540b56e085,error,desktop,adreno 618,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6262fd0d01d1d6264d1db365,success,desktop,adreno 618,wasm-opengl,Multiple Objects Rendering,null,436,26,2,22,60,27,43,18.40591431,18.40591431,18.40591431,92376,30792
6262fd2701d1d6264d1db366,success,desktop,adreno 618,wasm-opengl,Large Object Rendering,null,1573,1,0,1,60,1,57,18.40591431,18.40591431,18.40591431,240048,80016
6262fd6ec46c67540b56e086,success,desktop,adreno 618,webgl,Multiple Objects Rendering,null,90,27,5,24,60,16,30,18.40591431,18.40591431,18.40591431,65232,21744
6262fd8ac46c67540b56e087,success,desktop,adreno 618,webgl,Large Object Rendering,null,2045,1,0,1,60,60,60,18.40591431,18.40591431,18.40591431,240048,80016
62632c6d01d1d6264d1db367,error,desktop,intel mesa intel hd graphics 530,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
62632c7301d1d6264d1db368,error,desktop,intel mesa intel hd graphics 530,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
62632cbac46c67540b56e088,success,desktop,intel mesa intel hd graphics 530,wasm-opengl,Multiple Objects Rendering,null,637,26,1,17,60,37,51,15.0050993,7.37987804,11.74535472,111024,37008
62632cd7c46c67540b56e089,success,desktop,intel mesa intel hd graphics 530,wasm-opengl,Large Object Rendering,null,1843,1,0,1,60,1,57,78.97554493,57.33473301,58.82266884,240048,80016
62632d1e01d1d6264d1db369,success,desktop,intel mesa intel hd graphics 530,webgl,Multiple Objects Rendering,null,143,25,3,19,60,30,49,66.84934902,5.22826099,15.22987928,105048,35016
62632d3901d1d6264d1db36a,success,desktop,intel mesa intel hd graphics 530,webgl,Large Object Rendering,null,1591,1,0,1,60,55,60,44.49890709,42.91520405,43.72354713,240048,80016
6266acb601d1d6264d1db36b,error,desktop,mali-t830,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6266acbc01d1d6264d1db36c,error,desktop,mali-t830,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6266ad20c46c67540b56e08a,success,desktop,mali-t830,wasm-opengl,Multiple Objects Rendering,null,769,25,7,18,60,12,25,18.40591431,18.40591431,18.40591431,53172,17724
6266ad4e01d1d6264d1db36d,error,desktop,intel hd graphics 4600,webgpu,Multiple Objects Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6266ad5201d1d6264d1db36e,error,desktop,intel hd graphics 4600,webgpu,Large Object Rendering,"Cannot read properties of null (reading 'requestDevice')",null,,,,,,,,,,null,null
6266ad60c46c67540b56e08b,success,desktop,mali-t830,wasm-opengl,Large Object Rendering,null,6544,2,0,1,60,0,57,18.40591431,18.40591431,18.40591431,240048,80016
6266ada501d1d6264d1db36f,success,desktop,intel hd graphics 4600,wasm-opengl,Multiple Objects Rendering,null,397,27,1,19,60,28,43,20.46249962,7.48645496,13.77438401,91440,30480
6266adb901d1d6264d1db370,success,desktop,mali-t830,webgl,Multiple Objects Rendering,null,118,28,10,24,60,9,20,18.40591431,18.40591431,18.40591431,42264,14088
6266add901d1d6264d1db371,success,desktop,mali-t830,webgl,Large Object Rendering,null,8630,1,1,1,60,57,60,18.40591431,18.40591431,18.40591431,240048,80016
6266adea01d1d6264d1db372,success,desktop,intel hd graphics 4600,wasm-opengl,Large Object Rendering,null,1389,2,0,1,60,1,57,80.33439255,58.98730564,60.39445586,240048,80016
6266ae2cc46c67540b56e08c,success,desktop,intel hd graphics 4600,webgl,Multiple Objects Rendering,null,40,25,2,20,60,25,48,24.05666828,5.654706,12.45826713,101412,33804
6266ae46c46c67540b56e08d,success,desktop,intel hd graphics 4600,webgl,Large Object Rendering,null,1388,1,0,0,60,60,60,106.39690399,104.9496603,105.69013691,240048,80016
6266ae5c01d1d6264d1db373,error,desktop,intel hd graphics family,webgpu,Multiple Objects Rendering,WebGPU not supported,null,,,,,,,,,,null,null
6266ae5f01d1d6264d1db374,error,desktop,intel hd graphics family,webgpu,Large Object Rendering,WebGPU not supported,null,,,,,,,,,,null,null
6266aea0c46c67540b56e08e,success,desktop,intel hd graphics family,wasm-opengl,Multiple Objects Rendering,null,508,10,1,7,60,19,41,0,0,0,87012,29004
6266aebac46c67540b56e08f,success,desktop,intel hd graphics family,wasm-opengl,Large Object Rendering,null,2644,0,0,0,60,59,60,0,0,0,240048,80016
6266aefb01d1d6264d1db375,success,desktop,intel hd graphics family,webgl,Multiple Objects Rendering,null,68,11,2,8,60,17,42,0,0,0,88992,29664
6266af1401d1d6264d1db376,success,desktop,intel hd graphics family,webgl,Large Object Rendering,null,1059,0,0,0,60,58,60,0,0,0,240048,80016